,VID,Type,Number,Republicans,Democrats,Others
0,0,Yea,21,20,0,1
1,0,Nay,55,0,55,0
2,0,Present,2,1,1,0
3,0,Not Voting,17,6,10,1
4,1,Yea,28,16,11,1
5,1,Nay,63,11,51,1
6,1,Not Voting,4,1,3,0
7,2,Yea,35,22,12,1
8,2,Nay,56,5,50,1
9,2,Not Voting,4,1,3,0
10,3,Yea,38,25,12,1
11,3,Nay,51,2,48,1
12,3,Not Voting,6,1,5,0
13,4,Yea,39,23,14,2
14,4,Nay,52,4,48,0
15,4,Not Voting,4,1,3,0
16,5,Yea,30,22,8,0
17,5,Nay,60,5,53,2
18,5,Not Voting,5,1,4,0
19,6,Yea,65,15,49,1
20,6,Nay,24,12,11,1
21,6,Present,1,1,0,0
22,6,Not Voting,5,0,5,0
23,7,Yea,35,25,9,1
24,7,Nay,56,2,53,1
25,7,Not Voting,4,1,3,0
26,8,Yea,29,16,12,1
27,8,Nay,53,8,44,1
28,8,Present,2,1,1,0
29,8,Not Voting,11,3,8,0
30,9,Yea,36,25,10,1
31,9,Nay,45,0,44,1
32,9,Not Voting,14,3,11,0
33,10,Yea,33,24,8,1
34,10,Nay,48,1,46,1
35,10,Not Voting,14,3,11,0
36,11,Yea,28,21,6,1
37,11,Nay,54,5,48,1
38,11,Not Voting,13,2,11,0
39,12,Yea,36,26,8,2
40,12,Nay,47,0,47,0
41,12,Not Voting,12,2,10,0
42,13,Yea,33,19,13,1
43,13,Nay,56,7,48,1
44,13,Not Voting,6,2,4,0
45,14,Yea,33,22,10,1
46,14,Nay,55,5,49,1
47,14,Not Voting,7,1,6,0
48,15,Yea,35,20,14,1
49,15,Nay,54,7,46,1
50,15,Not Voting,6,1,5,0
51,16,Yea,32,18,13,1
52,16,Nay,59,9,49,1
53,16,Not Voting,4,1,3,0
54,17,Yea,29,19,9,1
55,17,Nay,62,8,53,1
56,17,Not Voting,4,1,3,0
57,18,Yea,60,10,49,1
58,18,Nay,31,17,13,1
59,18,Not Voting,4,1,3,0
60,19,Yea,32,0,32,0
61,19,Nay,32,21,9,2
62,19,Present,13,6,7,0
63,19,Not Voting,18,1,17,0
64,20,Yea,67,17,49,1
65,20,Nay,9,5,3,1
66,20,Present,1,1,0,0
67,20,Not Voting,18,5,13,0
68,21,Yea,29,0,29,0
69,21,Nay,34,19,13,2
70,21,Present,3,2,1,0
71,21,Not Voting,29,7,22,0
72,22,Yea,37,0,37,0
73,22,Nay,28,19,7,2
74,22,Present,4,2,2,0
75,22,Not Voting,26,7,19,0
76,23,Yea,20,14,4,2
77,23,Nay,49,7,42,0
78,23,Present,12,6,6,0
79,23,Not Voting,14,1,13,0
80,24,Yea,61,16,43,2
81,24,Nay,9,5,4,0
82,24,Present,3,2,1,0
83,24,Not Voting,22,5,17,0
84,25,Yea,56,14,40,2
85,25,Present,2,2,0,0
86,25,Not Voting,37,12,25,0
87,26,Yea,22,3,19,0
88,26,Nay,31,10,19,2
89,26,Present,5,2,3,0
90,26,Not Voting,37,13,24,0
91,27,Yea,35,4,31,0
92,27,Nay,44,19,23,2
93,27,Present,1,0,1,0
94,27,Not Voting,14,5,9,0
95,28,Yea,38,18,20,0
96,28,Nay,40,1,37,2
97,28,Present,1,0,1,0
98,28,Not Voting,15,9,6,0
99,29,Yea,75,18,55,2
100,29,Nay,2,1,1,0
101,29,Present,2,2,0,0
102,29,Not Voting,16,7,9,0
103,30,Yea,38,22,15,1
104,30,Nay,43,3,39,1
105,30,Not Voting,14,3,11,0
106,31,Yea,59,10,48,1
107,31,Nay,20,15,4,1
108,31,Not Voting,16,3,13,0
109,32,Yea,21,6,15,0
110,32,Nay,35,9,24,2
111,32,Present,24,12,12,0
112,32,Not Voting,15,1,14,0
113,33,Yea,20,17,2,1
114,33,Nay,38,0,38,0
115,33,Present,14,5,9,0
116,33,Not Voting,23,6,16,1
117,34,Yea,21,16,4,1
118,34,Nay,37,0,37,0
119,34,Present,14,5,9,0
120,34,Not Voting,23,7,15,1
121,35,Yea,22,15,6,1
122,35,Nay,37,0,37,0
123,35,Present,10,5,5,0
124,35,Not Voting,26,8,17,1
125,36,Yea,22,15,6,1
126,36,Nay,36,0,36,0
127,36,Present,17,6,11,0
128,36,Not Voting,20,7,12,1
129,37,Yea,40,0,40,0
130,37,Nay,18,15,2,1
131,37,Present,11,5,6,0
132,37,Not Voting,26,8,17,1
133,38,Yea,35,0,35,0
134,38,Nay,25,20,3,2
135,38,Present,14,7,7,0
136,38,Not Voting,21,1,20,0
137,39,Yea,45,15,28,2
138,39,Nay,26,5,21,0
139,39,Present,3,2,1,0
140,39,Not Voting,22,6,16,0
141,40,Yea,46,16,29,1
142,40,Nay,25,3,21,1
143,40,Present,4,2,2,0
144,40,Not Voting,21,7,14,0
145,41,Yea,71,19,50,2
146,41,Not Voting,25,9,16,0
147,42,Yea,36,19,15,2
148,42,Nay,34,0,34,0
149,42,Present,8,3,5,0
150,42,Not Voting,18,6,12,0
151,43,Yea,67,18,48,1
152,43,Nay,7,2,4,1
153,43,Present,2,1,1,0
154,43,Not Voting,20,7,13,0
155,44,Yea,50,17,32,1
156,44,Nay,14,0,13,1
157,44,Present,6,3,3,0
158,44,Not Voting,26,8,18,0
159,45,Yea,30,7,22,1
160,45,Nay,35,10,24,1
161,45,Present,4,2,2,0
162,45,Not Voting,27,9,18,0
163,46,Yea,30,4,25,1
164,46,Nay,34,12,21,1
165,46,Present,6,3,3,0
166,46,Not Voting,26,9,17,0
167,47,Yea,41,14,26,1
168,47,Nay,24,3,20,1
169,47,Present,4,2,2,0
170,47,Not Voting,27,9,18,0
171,48,Yea,31,3,26,2
172,48,Nay,26,11,15,0
173,48,Present,4,2,2,0
174,48,Not Voting,35,12,23,0
175,49,Yea,22,1,19,2
176,49,Nay,31,8,23,0
177,49,Present,6,4,2,0
178,49,Not Voting,37,15,22,0
179,50,Yea,59,13,44,2
180,50,Present,2,1,1,0
181,50,Not Voting,35,14,21,0
182,51,Yea,22,17,5,0
183,51,Nay,40,0,38,2
184,51,Present,1,0,1,0
185,51,Not Voting,31,11,20,0
186,52,Yea,42,0,40,2
187,52,Nay,20,17,3,0
188,52,Not Voting,32,11,21,0
189,53,Yea,27,13,14,0
190,53,Nay,24,1,22,1
191,53,Present,25,12,13,0
192,53,Not Voting,19,2,16,1
193,54,Yea,41,7,34,0
194,54,Nay,14,9,4,1
195,54,Present,17,9,8,0
196,54,Not Voting,23,3,19,1
197,55,Yea,34,16,17,1
198,55,Nay,23,0,23,0
199,55,Present,8,4,4,0
200,55,Not Voting,30,8,21,1
201,56,Yea,40,7,32,1
202,56,Nay,17,10,7,0
203,56,Present,8,4,4,0
204,56,Not Voting,30,7,22,1
205,57,Yea,27,13,13,1
206,57,Nay,50,8,42,0
207,57,Present,2,1,1,0
208,57,Not Voting,16,6,9,1
209,58,Yea,57,15,41,1
210,58,Nay,19,6,13,0
211,58,Not Voting,19,7,11,1
212,59,Yea,21,10,11,0
213,59,Nay,50,10,39,1
214,59,Present,7,4,3,0
215,59,Not Voting,18,4,13,1
216,60,Yea,44,7,37,0
217,60,Nay,28,13,14,1
218,60,Present,6,3,3,0
219,60,Not Voting,18,5,12,1
220,61,Yea,36,12,23,1
221,61,Nay,37,8,29,0
222,61,Present,10,4,6,0
223,61,Not Voting,13,4,8,1
224,62,Yea,39,12,26,1
225,62,Nay,34,8,26,0
226,62,Present,12,5,7,0
227,62,Not Voting,11,3,7,1
228,63,Yea,45,7,38,0
229,63,Nay,30,13,16,1
230,63,Present,2,1,1,0
231,63,Not Voting,19,7,11,1
232,64,Yea,37,6,31,0
233,64,Nay,19,9,9,1
234,64,Present,6,4,2,0
235,64,Not Voting,34,9,24,1
236,65,Yea,20,9,10,1
237,65,Nay,28,5,23,0
238,65,Present,13,7,6,0
239,65,Not Voting,35,7,27,1
240,66,Yea,20,13,6,1
241,66,Nay,27,2,25,0
242,66,Present,4,2,2,0
243,66,Not Voting,45,11,33,1
244,67,Yea,21,14,6,1
245,67,Nay,29,2,27,0
246,67,Present,14,7,7,0
247,67,Not Voting,32,5,26,1
248,68,Yea,10,5,5,0
249,68,Nay,36,7,28,1
250,68,Present,12,6,6,0
251,68,Not Voting,38,10,27,1
252,69,Yea,8,3,5,0
253,69,Nay,39,7,31,1
254,69,Present,4,2,2,0
255,69,Not Voting,45,16,28,1
256,70,Yea,43,9,34,0
257,70,Nay,23,9,13,1
258,70,Present,10,5,5,0
259,70,Not Voting,20,5,14,1
260,71,Yea,19,5,13,1
261,71,Nay,47,12,35,0
262,71,Present,12,6,6,0
263,71,Not Voting,18,5,12,1
264,72,Yea,40,8,32,0
265,72,Nay,22,8,13,1
266,72,Present,17,8,9,0
267,72,Not Voting,17,4,12,1
268,73,Yea,32,15,16,1
269,73,Nay,35,3,32,0
270,73,Present,13,6,7,0
271,73,Not Voting,16,4,11,1
272,74,Yea,31,14,16,1
273,74,Nay,33,4,29,0
274,74,Present,13,6,7,0
275,74,Not Voting,19,4,14,1
276,75,Yea,30,9,21,0
277,75,Nay,33,5,27,1
278,75,Present,12,5,7,0
279,75,Not Voting,21,9,11,1
280,76,Yea,67,16,51,0
281,76,Nay,5,2,2,1
282,76,Present,1,1,0,0
283,76,Not Voting,23,9,13,1
284,77,Yea,19,16,2,1
285,77,Nay,44,2,41,1
286,77,Present,6,4,2,0
287,77,Not Voting,27,6,21,0
288,78,Yea,59,15,43,1
289,78,Nay,13,9,3,1
290,78,Not Voting,24,4,20,0
291,79,Yea,38,21,16,1
292,79,Nay,50,6,43,1
293,79,Present,1,0,1,0
294,79,Not Voting,7,1,6,0
295,80,Yea,38,22,15,1
296,80,Nay,49,5,43,1
297,80,Present,1,0,1,0
298,80,Not Voting,8,1,7,0
299,81,Yea,11,4,7,0
300,81,Nay,78,23,53,2
301,81,Not Voting,7,1,6,0
302,82,Yea,50,5,44,1
303,82,Nay,38,22,15,1
304,82,Present,1,0,1,0
305,82,Not Voting,7,1,6,0
306,83,Yea,50,6,43,1
307,83,Nay,37,21,15,1
308,83,Present,1,0,1,0
309,83,Not Voting,8,1,7,0
310,84,Yea,82,24,56,2
311,84,Not Voting,13,4,9,0
312,85,Yea,53,12,41,0
313,85,Nay,16,9,5,2
314,85,Present,6,3,3,0
315,85,Not Voting,20,4,16,0
316,86,Yea,88,28,58,2
317,86,Not Voting,7,0,7,0
318,87,Yea,90,28,60,2
319,87,Not Voting,5,0,5,0
320,88,Yea,86,26,58,2
321,88,Not Voting,9,2,7,0
322,89,Yea,53,8,44,1
323,89,Nay,30,16,13,1
324,89,Not Voting,12,4,8,0
325,90,Yea,38,15,23,0
326,90,Nay,38,8,28,2
327,90,Present,2,1,1,0
328,90,Not Voting,17,4,13,0
329,91,Yea,40,18,22,0
330,91,Nay,38,6,30,2
331,91,Not Voting,17,4,13,0
332,92,Yea,39,17,22,0
333,92,Nay,39,7,30,2
334,92,Present,2,1,1,0
335,92,Not Voting,15,3,12,0
336,93,Yea,52,23,27,2
337,93,Nay,27,1,26,0
338,93,Present,2,1,1,0
339,93,Not Voting,14,3,11,0
340,94,Yea,33,15,16,2
341,94,Nay,49,10,39,0
342,94,Present,1,1,0,0
343,94,Not Voting,12,2,10,0
344,95,Yea,38,12,24,2
345,95,Nay,42,11,31,0
346,95,Present,1,1,0,0
347,95,Not Voting,14,4,10,0
348,96,Yea,34,15,17,2
349,96,Nay,47,8,39,0
350,96,Not Voting,14,5,9,0
351,97,Yea,79,22,55,2
352,97,Nay,2,1,1,0
353,97,Not Voting,14,5,9,0
354,98,Yea,39,10,28,1
355,98,Nay,46,16,29,1
356,98,Present,1,1,0,0
357,98,Not Voting,10,2,8,0
358,99,Yea,48,16,31,1
359,99,Nay,37,10,26,1
360,99,Present,1,1,0,0
361,99,Not Voting,10,2,8,0
362,100,Yea,55,19,35,1
363,100,Nay,31,6,24,1
364,100,Present,1,1,0,0
365,100,Not Voting,9,3,6,0
366,101,Yea,72,25,46,1
367,101,Nay,12,0,11,1
368,101,Present,2,1,1,0
369,101,Not Voting,10,3,7,0
370,102,Yea,17,16,1,0
371,102,Nay,65,8,55,2
372,102,Present,4,2,2,0
373,102,Not Voting,10,3,7,0
374,103,Yea,84,24,58,2
375,103,Nay,1,1,0,0
376,103,Not Voting,11,4,7,0
377,104,Yea,26,15,10,1
378,104,Nay,33,5,27,1
379,104,Present,6,3,3,0
380,104,Not Voting,31,6,25,0
381,105,Yea,28,14,13,1
382,105,Nay,34,5,28,1
383,105,Present,4,2,2,0
384,105,Not Voting,30,8,22,0
385,106,Yea,42,8,33,1
386,106,Nay,24,11,12,1
387,106,Present,4,2,2,0
388,106,Not Voting,26,8,18,0
389,107,Yea,47,3,43,1
390,107,Nay,32,21,10,1
391,107,Present,6,3,3,0
392,107,Not Voting,11,2,9,0
393,108,Yea,65,15,48,2
394,108,Nay,14,8,6,0
395,108,Present,1,1,0,0
396,108,Not Voting,16,5,11,0
397,109,Yea,25,17,8,0
398,109,Nay,51,2,47,2
399,109,Present,4,2,2,0
400,109,Not Voting,16,8,8,0
401,110,Yea,74,22,50,2
402,110,Nay,3,0,3,0
403,110,Present,1,1,0,0
404,110,Not Voting,18,6,12,0
405,111,Yea,53,3,49,1
406,111,Nay,26,19,6,1
407,111,Present,4,2,2,0
408,111,Not Voting,13,5,8,0
409,112,Yea,75,24,50,1
410,112,Nay,5,1,3,1
411,112,Present,1,0,1,0
412,112,Not Voting,15,4,11,0
413,113,Yea,74,21,51,2
414,113,Not Voting,22,8,14,0
415,114,Yea,22,1,20,1
416,114,Nay,49,17,31,1
417,114,Present,6,2,4,0
418,114,Not Voting,19,9,10,0
419,115,Yea,24,7,17,0
420,115,Nay,48,13,33,2
421,115,Present,4,2,2,0
422,115,Not Voting,20,7,13,0
423,116,Yea,50,14,34,2
424,116,Nay,23,7,16,0
425,116,Present,5,3,2,0
426,116,Not Voting,18,5,13,0
427,117,Yea,40,12,27,1
428,117,Nay,23,8,14,1
429,117,Present,8,4,4,0
430,117,Not Voting,25,5,20,0
431,118,Yea,37,8,29,0
432,118,Nay,45,17,27,1
433,118,Present,2,1,1,0
434,118,Not Voting,12,3,8,1
435,119,Yea,30,9,21,0
436,119,Nay,52,16,35,1
437,119,Present,2,1,1,0
438,119,Not Voting,12,3,8,1
439,120,Yea,73,22,50,1
440,120,Not Voting,23,7,15,1
441,121,Yea,82,23,58,1
442,121,Present,1,1,0,0
443,121,Not Voting,13,5,7,1
444,122,Yea,51,14,37,0
445,122,Nay,10,8,2,0
446,122,Present,1,1,0,0
447,122,Not Voting,34,6,26,2
448,123,Yea,40,18,22,0
449,123,Nay,21,5,16,0
450,123,Present,4,2,2,0
451,123,Not Voting,31,4,25,2
452,124,Yea,53,18,35,0
453,124,Nay,20,4,14,2
454,124,Present,4,2,2,0
455,124,Not Voting,19,5,14,0
456,125,Yea,42,13,29,0
457,125,Nay,38,7,29,2
458,125,Present,1,0,1,0
459,125,Not Voting,15,9,6,0
460,126,Yea,26,9,16,1
461,126,Nay,37,10,27,0
462,126,Present,7,4,3,0
463,126,Not Voting,26,6,19,1
464,127,Yea,38,14,24,0
465,127,Nay,27,5,21,1
466,127,Present,6,4,2,0
467,127,Not Voting,25,6,18,1
468,128,Yea,2,0,2,0
469,128,Nay,66,18,46,2
470,128,Present,7,4,3,0
471,128,Not Voting,21,7,14,0
472,129,Yea,45,7,36,2
473,129,Nay,22,11,11,0
474,129,Present,7,5,2,0
475,129,Not Voting,22,6,16,0
476,130,Yea,15,4,10,1
477,130,Nay,47,11,35,1
478,130,Present,7,4,3,0
479,130,Not Voting,27,10,17,0
480,131,Yea,25,11,14,0
481,131,Nay,44,7,35,2
482,131,Present,6,3,3,0
483,131,Not Voting,21,8,13,0
484,132,Yea,48,10,36,2
485,132,Nay,16,6,10,0
486,132,Present,4,3,1,0
487,132,Not Voting,28,10,18,0
488,133,Yea,25,6,19,0
489,133,Nay,55,15,38,2
490,133,Present,5,3,2,0
491,133,Not Voting,11,5,6,0
492,134,Yea,62,18,42,2
493,134,Nay,18,4,14,0
494,134,Present,3,2,1,0
495,134,Not Voting,13,5,8,0
496,135,Yea,20,6,12,2
497,135,Nay,48,9,39,0
498,135,Present,6,4,2,0
499,135,Not Voting,22,10,12,0
500,136,Yea,20,7,13,0
501,136,Nay,46,11,33,2
502,136,Present,4,3,1,0
503,136,Not Voting,26,8,18,0
504,137,Yea,73,22,49,2
505,137,Not Voting,23,7,16,0
506,138,Yea,73,22,49,2
507,138,Not Voting,23,7,16,0
508,139,Yea,73,22,49,2
509,139,Not Voting,23,7,16,0
510,140,Yea,58,16,41,1
511,140,Nay,20,6,13,1
512,140,Present,2,2,0,0
513,140,Not Voting,16,5,11,0
514,141,Yea,69,20,48,1
515,141,Not Voting,27,9,17,1
516,142,Yea,26,10,16,0
517,142,Nay,34,10,23,1
518,142,Present,8,4,4,0
519,142,Not Voting,28,5,22,1
520,143,Yea,46,14,31,1
521,143,Nay,13,3,10,0
522,143,Present,5,1,4,0
523,143,Not Voting,32,11,20,1
524,144,Yea,52,15,36,1
525,144,Nay,7,2,5,0
526,144,Present,5,1,4,0
527,144,Not Voting,32,11,20,1
528,145,Yea,48,13,34,1
529,145,Nay,9,2,7,0
530,145,Present,7,3,4,0
531,145,Not Voting,32,11,20,1
532,146,Yea,22,5,17,0
533,146,Nay,32,10,22,0
534,146,Present,6,3,3,0
535,146,Not Voting,36,11,23,2
536,147,Yea,32,2,29,1
537,147,Nay,32,14,18,0
538,147,Present,5,2,3,0
539,147,Not Voting,27,11,15,1
540,148,Yea,32,2,29,1
541,148,Nay,32,15,17,0
542,148,Present,5,2,3,0
543,148,Not Voting,27,10,16,1
544,149,Yea,39,1,38,0
545,149,Nay,20,18,1,1
546,149,Present,5,1,4,0
547,149,Not Voting,32,9,22,1
548,150,Yea,26,13,12,1
549,150,Nay,27,4,23,0
550,150,Present,7,4,3,0
551,150,Not Voting,36,8,27,1
552,151,Yea,28,5,23,0
553,151,Nay,24,11,12,1
554,151,Present,6,4,2,0
555,151,Not Voting,38,9,28,1
556,152,Yea,31,1,30,0
557,152,Nay,23,15,7,1
558,152,Present,9,5,4,0
559,152,Not Voting,33,8,24,1
560,153,Yea,38,10,28,0
561,153,Nay,16,6,9,1
562,153,Present,8,4,4,0
563,153,Not Voting,34,9,24,1
564,154,Yea,30,0,30,0
565,154,Nay,30,20,9,1
566,154,Present,4,2,2,0
567,154,Not Voting,32,7,24,1
568,155,Yea,30,19,11,0
569,155,Nay,30,1,28,1
570,155,Present,4,2,2,0
571,155,Not Voting,32,7,24,1
572,156,Yea,28,13,13,2
573,156,Nay,25,0,25,0
574,156,Present,4,1,3,0
575,156,Not Voting,39,15,24,0
576,157,Yea,33,13,18,2
577,157,Nay,20,0,20,0
578,157,Present,2,1,1,0
579,157,Not Voting,41,15,26,0
580,158,Yea,47,12,33,2
581,158,Nay,5,0,5,0
582,158,Present,1,0,1,0
583,158,Not Voting,43,17,26,0
584,159,Yea,15,0,15,0
585,159,Nay,36,15,19,2
586,159,Present,10,5,5,0
587,159,Not Voting,35,9,26,0
588,160,Yea,25,2,22,1
589,160,Nay,33,18,14,1
590,160,Present,6,3,3,0
591,160,Not Voting,32,6,26,0
592,161,Yea,48,15,31,2
593,161,Nay,43,13,30,0
594,161,Not Voting,5,1,4,0
595,162,Yea,86,25,59,2
596,162,Nay,4,3,1,0
597,162,Not Voting,6,1,5,0
598,163,Yea,31,19,10,2
599,163,Nay,50,6,44,0
600,163,Present,2,1,1,0
601,163,Not Voting,13,3,10,0
602,164,Yea,12,11,1,0
603,164,Nay,69,11,56,2
604,164,Present,4,2,2,0
605,164,Not Voting,11,5,6,0
606,165,Yea,15,2,13,0
607,165,Nay,65,21,42,2
608,165,Present,4,2,2,0
609,165,Not Voting,12,4,8,0
610,166,Yea,14,12,2,0
611,166,Nay,67,11,54,2
612,166,Present,4,2,2,0
613,166,Not Voting,11,4,7,0
614,167,Yea,82,23,57,2
615,167,Not Voting,14,6,8,0
616,168,Yea,9,1,7,1
617,168,Nay,75,23,51,1
618,168,Present,2,1,1,0
619,168,Not Voting,10,4,6,0
620,169,Yea,52,18,34,0
621,169,Nay,34,8,24,2
622,169,Not Voting,10,3,7,0
623,170,Yea,50,26,24,0
624,170,Nay,35,1,32,2
625,170,Not Voting,11,2,9,0
626,171,Yea,10,1,8,1
627,171,Nay,74,25,48,1
628,171,Present,1,0,1,0
629,171,Not Voting,11,3,8,0
630,172,Yea,45,6,39,0
631,172,Nay,36,19,15,2
632,172,Present,3,2,1,0
633,172,Not Voting,12,2,10,0
634,173,Yea,77,23,52,2
635,173,Not Voting,19,6,13,0
636,174,Yea,32,2,28,2
637,174,Nay,25,19,6,0
638,174,Present,5,2,3,0
639,174,Not Voting,34,6,28,0
640,175,Yea,49,14,34,1
641,175,Nay,25,7,17,1
642,175,Present,3,2,1,0
643,175,Not Voting,19,6,13,0
644,176,Yea,39,13,25,1
645,176,Nay,31,8,23,0
646,176,Present,4,0,4,0
647,176,Not Voting,22,8,13,1
648,177,Yea,62,17,44,1
649,177,Nay,6,2,4,0
650,177,Not Voting,28,10,17,1
651,178,Yea,24,16,8,0
652,178,Nay,37,3,33,1
653,178,Present,3,1,2,0
654,178,Not Voting,32,9,22,1
655,179,Yea,32,4,28,0
656,179,Nay,33,14,18,1
657,179,Present,4,2,2,0
658,179,Not Voting,27,9,17,1
659,180,Yea,58,16,41,1
660,180,Nay,5,3,2,0
661,180,Not Voting,33,10,22,1
662,181,Yea,19,3,16,0
663,181,Nay,44,18,24,2
664,181,Present,4,2,2,0
665,181,Not Voting,29,6,23,0
666,182,Yea,41,19,20,2
667,182,Nay,23,3,20,0
668,182,Present,4,2,2,0
669,182,Not Voting,28,5,23,0
670,183,Yea,41,19,20,2
671,183,Nay,23,2,21,0
672,183,Present,4,2,2,0
673,183,Not Voting,28,6,22,0
674,184,Yea,39,17,20,2
675,184,Nay,21,2,19,0
676,184,Present,4,2,2,0
677,184,Not Voting,32,9,23,0
678,185,Yea,37,15,20,2
679,185,Nay,23,3,20,0
680,185,Present,4,2,2,0
681,185,Not Voting,32,10,22,0
682,186,Yea,22,2,20,0
683,186,Nay,37,17,18,2
684,186,Present,4,2,2,0
685,186,Not Voting,33,9,24,0
686,187,Yea,24,1,23,0
687,187,Nay,35,18,15,2
688,187,Present,4,2,2,0
689,187,Not Voting,33,9,24,0
690,188,Yea,37,14,21,2
691,188,Nay,41,10,31,0
692,188,Not Voting,18,6,12,0
693,189,Yea,26,21,5,0
694,189,Nay,42,2,39,1
695,189,Present,6,3,3,0
696,189,Not Voting,22,4,17,1
697,190,Yea,40,2,38,0
698,190,Nay,29,21,7,1
699,190,Present,5,3,2,0
700,190,Not Voting,22,4,17,1
701,191,Yea,7,1,5,1
702,191,Nay,46,16,30,0
703,191,Present,5,2,3,0
704,191,Not Voting,38,11,26,1
705,192,Yea,29,29,0,0
706,192,Nay,43,0,43,0
707,192,Present,2,1,1,0
708,192,Not Voting,20,6,13,1
709,193,Yea,29,26,3,0
710,193,Nay,49,6,42,1
711,193,Present,2,1,1,0
712,193,Not Voting,15,4,11,0
713,194,Yea,70,25,44,1
714,194,Nay,10,7,3,0
715,194,Present,2,1,1,0
716,194,Not Voting,13,4,9,0
717,195,Yea,46,3,43,0
718,195,Nay,31,29,1,1
719,195,Present,1,1,0,0
720,195,Not Voting,18,4,13,1
721,196,Yea,39,17,21,1
722,196,Nay,28,11,16,1
723,196,Present,3,1,2,0
724,196,Not Voting,26,8,18,0
725,197,Yea,42,13,28,1
726,197,Nay,17,12,4,1
727,197,Present,4,2,2,0
728,197,Not Voting,33,10,23,0
729,198,Yea,78,32,44,2
730,198,Nay,2,0,2,0
731,198,Not Voting,16,5,11,0
732,199,Yea,56,29,25,2
733,199,Nay,7,0,7,0
734,199,Present,5,2,3,0
735,199,Not Voting,28,6,22,0
736,200,Yea,46,8,37,1
737,200,Nay,20,19,0,1
738,200,Present,2,2,0,0
739,200,Not Voting,28,8,20,0
740,201,Yea,40,26,13,1
741,201,Nay,31,3,27,1
742,201,Present,11,5,6,0
743,201,Not Voting,14,3,11,0
744,202,Yea,38,23,14,1
745,202,Nay,34,4,29,1
746,202,Present,9,4,5,0
747,202,Not Voting,15,6,9,0
748,203,Yea,54,21,32,1
749,203,Nay,7,6,1,0
750,203,Present,4,2,2,0
751,203,Not Voting,31,8,22,1
752,204,Yea,32,11,21,0
753,204,Nay,49,20,27,2
754,204,Present,1,0,1,0
755,204,Not Voting,14,6,8,0
756,205,Yea,82,33,47,2
757,205,Not Voting,14,4,10,0
758,206,Yea,9,3,6,0
759,206,Nay,65,32,31,2
760,206,Present,2,0,2,0
761,206,Not Voting,20,2,18,0
762,207,Yea,23,9,14,0
763,207,Nay,51,25,24,2
764,207,Present,3,0,3,0
765,207,Not Voting,19,3,16,0
766,208,Yea,51,26,23,2
767,208,Nay,23,8,15,0
768,208,Present,3,0,3,0
769,208,Not Voting,19,3,16,0
770,209,Yea,50,26,22,2
771,209,Nay,24,9,15,0
772,209,Present,2,0,2,0
773,209,Not Voting,20,2,18,0
774,210,Yea,74,29,43,2
775,210,Nay,3,1,2,0
776,210,Present,1,1,0,0
777,210,Not Voting,18,6,12,0
778,211,Yea,70,26,44,0
779,211,Nay,5,5,0,0
780,211,Present,2,0,1,1
781,211,Not Voting,18,6,12,0
782,212,Yea,62,26,34,2
783,212,Nay,23,8,15,0
784,212,Present,1,0,1,0
785,212,Not Voting,10,3,7,0
786,213,Yea,39,7,32,0
787,213,Nay,18,16,1,1
788,213,Present,1,1,0,0
789,213,Not Voting,38,13,24,1
790,214,Yea,37,8,29,0
791,214,Nay,19,18,0,1
792,214,Present,2,2,0,0
793,214,Not Voting,38,9,28,1
794,215,Yea,41,24,16,1
795,215,Nay,34,6,27,1
796,215,Present,3,2,1,0
797,215,Not Voting,18,5,13,0
798,216,Yea,27,9,17,1
799,216,Nay,52,24,27,1
800,216,Present,2,1,1,0
801,216,Not Voting,15,3,12,0
802,217,Yea,34,23,10,1
803,217,Nay,45,10,34,1
804,217,Present,2,1,1,0
805,217,Not Voting,15,3,12,0
806,218,Yea,63,29,33,1
807,218,Nay,16,4,11,1
808,218,Present,2,1,1,0
809,218,Not Voting,15,3,12,0
810,219,Yea,44,10,33,1
811,219,Nay,29,20,8,1
812,219,Not Voting,23,7,16,0
813,220,Yea,37,1,36,0
814,220,Nay,28,24,2,2
815,220,Present,6,3,3,0
816,220,Not Voting,25,9,16,0
817,221,Yea,21,1,19,1
818,221,Nay,57,32,24,1
819,221,Present,1,0,1,0
820,221,Not Voting,17,4,13,0
821,222,Yea,32,6,26,0
822,222,Nay,50,28,20,2
823,222,Not Voting,14,3,11,0
824,223,Yea,29,3,25,1
825,223,Nay,49,29,19,1
826,223,Present,3,1,2,0
827,223,Not Voting,15,4,11,0
828,224,Yea,29,2,26,1
829,224,Nay,50,30,19,1
830,224,Present,1,0,1,0
831,224,Not Voting,16,5,11,0
832,225,Yea,27,2,24,1
833,225,Nay,52,30,21,1
834,225,Not Voting,17,5,12,0
835,226,Yea,48,30,17,1
836,226,Nay,31,2,28,1
837,226,Not Voting,17,5,12,0
838,227,Yea,49,30,18,1
839,227,Nay,30,2,27,1
840,227,Not Voting,17,5,12,0
841,228,Yea,31,4,26,1
842,228,Nay,43,25,17,1
843,228,Not Voting,22,8,14,0
844,229,Yea,44,12,31,1
845,229,Nay,31,19,11,1
846,229,Not Voting,21,6,15,0
847,230,Yea,33,24,7,2
848,230,Nay,51,7,44,0
849,230,Present,1,1,0,0
850,230,Not Voting,11,5,6,0
851,231,Yea,31,17,12,2
852,231,Nay,50,13,37,0
853,231,Present,3,1,2,0
854,231,Not Voting,12,6,6,0
