,VID,Type,Number,Republicans,Democrats,Others
22934,6669,Not Voting,14,5,9,0
22935,6670,Yea,29,18,10,1
22936,6670,Nay,63,21,41,1
22937,6670,Not Voting,8,3,5,0
22938,6671,Yea,82,32,49,1
22939,6671,Nay,8,7,0,1
22940,6671,Not Voting,10,3,7,0
22941,6672,Yea,75,27,47,1
22942,6672,Nay,20,12,7,1
22943,6672,Not Voting,5,3,2,0
22944,6673,Yea,62,16,46,0
22945,6673,Nay,29,21,7,1
22946,6673,Not Voting,9,5,3,1
22947,6674,Yea,43,8,35,0
22948,6674,Nay,48,30,16,2
22949,6674,Not Voting,9,4,5,0
22950,6675,Yea,73,32,40,1
22951,6675,Nay,2,1,1,0
22952,6675,Not Voting,25,9,15,1
22953,6676,Yea,95,40,53,2
22954,6676,Not Voting,5,2,3,0
22955,6677,Yea,95,40,53,2
22956,6677,Not Voting,5,2,3,0
22957,6678,Yea,95,40,53,2
22958,6678,Not Voting,5,2,3,0
22959,6679,Yea,95,40,53,2
22960,6679,Not Voting,5,2,3,0
22961,6680,Yea,54,7,47,0
22962,6680,Nay,42,34,6,2
22963,6680,Not Voting,4,1,3,0
22964,6681,Yea,62,23,39,0
22965,6681,Nay,7,3,3,1
22966,6681,Not Voting,31,16,14,1
22967,6682,Yea,69,31,37,1
22968,6682,Nay,12,1,11,0
22969,6682,Not Voting,19,10,8,1
22970,6683,Yea,75,25,49,1
22971,6683,Nay,18,14,3,1
22972,6683,Not Voting,7,3,4,0
22973,6684,Yea,80,36,43,1
22974,6684,Nay,5,1,4,0
22975,6684,Present,1,0,0,1
22976,6684,Not Voting,14,5,9,0
22977,6685,Yea,80,33,45,2
22978,6685,Nay,2,1,1,0
22979,6685,Not Voting,18,8,10,0
22980,6686,Yea,83,34,48,1
22981,6686,Nay,3,2,0,1
22982,6686,Not Voting,14,6,8,0
22983,6687,Yea,40,2,38,0
22984,6687,Nay,48,35,11,2
22985,6687,Not Voting,12,5,7,0
22986,6688,Yea,87,37,48,2
22987,6688,Not Voting,13,5,8,0
22988,6689,Yea,49,12,37,0
22989,6689,Nay,37,24,11,2
22990,6689,Not Voting,14,6,8,0
22991,6690,Yea,72,24,47,1
22992,6690,Nay,15,14,0,1
22993,6690,Not Voting,13,4,9,0
22994,6691,Yea,83,36,45,2
22995,6691,Nay,2,1,1,0
22996,6691,Not Voting,15,5,10,0
22997,6692,Yea,60,16,44,0
22998,6692,Nay,26,21,3,2
22999,6692,Not Voting,14,5,9,0
23000,6693,Yea,73,26,46,1
23001,6693,Nay,12,11,0,1
23002,6693,Not Voting,15,5,10,0
23003,6694,Yea,35,24,10,1
23004,6694,Nay,47,11,35,1
23005,6694,Not Voting,18,7,11,0
23006,6695,Yea,62,19,42,1
23007,6695,Nay,17,16,0,1
23008,6695,Not Voting,21,7,14,0
23009,6696,Yea,32,5,27,0
23010,6696,Nay,48,29,17,2
23011,6696,Not Voting,20,8,12,0
23012,6697,Yea,53,20,31,2
23013,6697,Nay,16,10,6,0
